state,segment,profile,lon,lat,x,z,x_err,z_err,beach_width,slope,feature_type
1,33,776,-95.5523,28.8015,19.6141,0.37,0.2042,999,10.0602,0.0748,SL
1,33,777,-95.5524,28.8018,-11.6961,1.766,999,0.0876,999,999,DC
1,33,777,-95.5523,28.8016,9.5539,1.1048,999,0.0816,999,999,DT
1,33,777,-95.5522,28.8015,20.0984,0.37,0.1566,999,31.7944,0.0439,SL
1,33,778,-95.5523,28.8018,-11.6961,1.6956,999,0.0997,999,999,DC
1,33,778,-95.5522,28.8016,9.5539,1.0946,999,0.1053,999,999,DT
1,33,778,-95.5521,28.8016,19.9267,0.37,0.17,999,31.6228,0.0419,SL
1,33,779,-95.5522,28.8019,-11.6961,1.6359,999,0.0932,999,999,DC
1,33,779,999,999,999,999,999,999,999,999,DT
1,33,779,-95.552,28.8016,19.7125,0.37,0.1896,999,31.4086,0.0403,SL
1,33,780,-95.5521,28.8019,-14.1961,1.6691,999,0.0831,999,999,DC
1,33,780,-95.552,28.8017,9.5539,1.0714,999,0.0896,999,999,DT
1,33,780,-95.5519,28.8017,19.5806,0.37,0.206,999,33.7767,0.0385,SL
1,33,781,-95.552,28.8019,-11.6961,1.6963,999,0.0496,999,999,DC
1,33,781,-95.5519,28.8018,9.5539,1.0811,999,0.0599,999,999,DT
1,33,781,-95.5519,28.8017,19.2944,0.37,0.1167,999,30.9904,0.0428,SL
1,33,782,-95.5519,28.802,-9.1961,1.6911,999,0.0409,999,999,DC
1,33,782,999,999,999,999,999,999,999,999,DT
1,33,782,-95.5518,28.8018,18.892,0.37,0.1918,999,28.0881,0.047,SL
1,33,783,-95.5518,28.802,-11.6961,1.793,999,0.1278,999,999,DC
1,33,783,-95.5517,28.8019,9.5539,1.1283,999,0.1023,999,999,DT
1,33,783,-95.5517,28.8018,18.8128,0.37,0.1822,999,9.2589,0.0819,SL
1,33,784,-95.5517,28.8021,-11.6961,1.9118,999,0.1026,999,999,DC
1,33,784,-95.5516,28.8019,7.0539,1.324,999,0.0966,999,999,DT
1,33,784,-95.5516,28.8018,19.2335,0.37,0.1186,999,12.1796,0.0783,SL
1,33,785,-95.5517,28.8021,-11.6961,1.9597,999,0.0686,999,999,DC
1,33,785,-95.5516,28.802,7.0539,1.3608,999,0.0638,999,999,DT
1,33,785,-95.5515,28.8019,19.7566,0.37,0.1662,999,12.7026,0.078,SL
